,State Code,longitude,latitude,Courses Available
32777,VA,-78.89671,38.072685,18.0
32778,NY,-76.836126,42.17619,18.0
32779,VA,-76.731745,37.255035,24.0
32780,MA,-71.509395,42.34722,9.0
32781,NC,-80.892295,35.13488,20.0
32782,IN,-86.14693,39.41567,19.0
32783,NC,-82.012215,35.675625,19.0
32784,OH,-84.64002,39.76574,36.0
32785,LA,-91.06123,30.384745,24.0
32786,CA,-117.369685,34.121755,142.0
32787,KS,-98.58066,38.36026,23.0
32788,TX,-96.63548,33.22163,24.0
32789,MS,-90.65039,33.45689,5.0
32790,TN,-84.848455,35.201745,38.0
32791,MO,-91.44663,39.70682,69.0
32792,IL,-88.25943,42.04589,17.0
32793,MA,-71.22084,42.13932,20.0
32794,CA,-122.17765,37.76649,100.0
32795,NY,-73.93465,40.689365,24.0
32796,AL,-86.61326,33.64115,13.0
32797,MD,-75.16538,38.37575,19.0
32798,CO,-104.718895,40.386215,20.0
32799,NV,-114.62722,35.13143,0.0
32800,VA,-77.60567,37.65211,24.0
32801,FL,-81.884585,26.59724,24.0
32802,VA,-80.41472,37.13673,18.0
32803,MA,-72.58758,42.174655,18.0
32804,MO,-90.32721,38.50588,
32805,HI,-157.79874,21.404895,20.0
32806,KY,-84.56267,39.01302,1.0
32807,CA,-120.97554,37.68942,72.0
32808,MS,-90.474385,31.25158,11.0
32809,RI,-71.81925,41.369135,39.0
32810,TX,-97.729152,31.089955,70.0
32811,CA,-121.92264,37.30547,24.0
32812,VA,-76.30342,36.86198,63.0
32813,LA,-92.08567,30.50888,20.0
32814,IL,-90.15443,38.35651,48.0
32815,FL,-80.25455,26.12281,20.0
